transaction_id,user_id,product_id,store,event_type,event_date,amount_tracked,related_transaction_id
t_0000001,u_000000,monthly_pro,play_store,trial_start,2025-10-16,0.0,
c_0000001,u_000000,monthly_pro,play_store,trial_cancel,2025-10-23,0.0,t_0000001
t_0000002,u_000001,monthly_basic,app_store,trial_start,2024-08-16,0.0,
c_0000002,u_000001,monthly_basic,app_store,trial_cancel,2024-08-23,0.0,t_0000002
t_0000003,u_000002,monthly_pro,app_store,trial_start,2024-03-30,0.0,
p_0000004,u_000002,monthly_pro,app_store,trial_convert,2024-04-06,19.99,t_0000003
p_0000005,u_000002,monthly_pro,app_store,renewal,2024-05-06,19.99,
p_0000006,u_000002,monthly_pro,app_store,renewal,2024-06-05,19.99,
p_0000007,u_000002,monthly_pro,app_store,renewal,2024-07-05,19.99,
p_0000008,u_000002,monthly_pro,app_store,renewal,2024-08-04,19.99,
p_0000009,u_000002,monthly_pro,app_store,renewal,2024-09-03,19.99,
r_0000009,u_000002,monthly_pro,app_store,refund,2024-09-14,-19.99,p_0000009
t_0000010,u_000003,annual_pro,play_store,trial_start,2024-08-12,0.0,
c_0000010,u_000003,annual_pro,play_store,trial_cancel,2024-08-12,0.0,t_0000010
t_0000011,u_000004,annual_pro,play_store,trial_start,2024-07-22,0.0,
p_0000012,u_000004,annual_pro,play_store,trial_convert,2024-07-29,179.99,t_0000011
ch_0000012,u_000004,annual_pro,play_store,churn,2025-07-28,0.0,p_0000012
t_0000013,u_000005,annual_pro,app_store,trial_start,2024-08-14,0.0,
c_0000013,u_000005,annual_pro,app_store,trial_cancel,2024-08-21,0.0,t_0000013
t_0000014,u_000006,monthly_basic,app_store,trial_start,2024-06-13,0.0,
c_0000014,u_000006,monthly_basic,app_store,trial_cancel,2024-06-20,0.0,t_0000014
t_0000015,u_000007,annual_basic,app_store,trial_start,2024-08-08,0.0,
p_0000016,u_000007,annual_basic,app_store,trial_convert,2024-08-15,89.99,t_0000015
p_0000017,u_000007,annual_basic,app_store,renewal,2025-08-15,89.99,
